score_variant,clip_predictions,bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,score_count,n_runs,random_state,svd_explained_variance
clipped,True,12,5,0.020308616290421848,0.07343913368931146,0.016,0.054394797268206126,0.04591666666666667,0.1835615870098434,0.08,0.08,9.92,3.475,Cresherhsm,43,200,42,0.12796885211512077
clipped,True,12,10,0.025048124810029403,0.06491880753076398,0.016,0.03675260220507142,0.05728174603174603,0.18494189159099536,0.16,0.155,9.92,3.475,Cresherhsm,43,200,42,0.12796885211512077
clipped,True,12,5,0.14650569918906858,0.13834560451999228,0.17300000000000001,0.1509467608897772,0.29075,0.2594323222263283,0.865,0.73,14.665,8.28,Dadalt,68,200,42,0.12796885211512077
clipped,True,12,10,0.12286143588087169,0.09823564970643528,0.1185,0.08914868163459254,0.3050277777777778,0.24649688022217894,1.185,0.965,14.665,8.28,Dadalt,68,200,42,0.12796885211512077
clipped,True,12,5,0.01163155170862034,0.0509445563685319,0.011000000000000001,0.04571047184377891,0.027416666666666666,0.1298099962254243,0.055,0.055,17.495,9.425,Emily3k,79,200,42,0.12796885211512077
clipped,True,12,10,0.011983020697423746,0.0366762666171223,0.011500000000000002,0.03198225010233083,0.03471428571428572,0.13160863140956786,0.115,0.115,17.495,9.425,Emily3k,79,200,42,0.12796885211512077
clipped,True,12,5,0.1010920398866452,0.1352928135835251,0.09600000000000002,0.11855071217324639,0.19416666666666668,0.27957528409205556,0.48,0.315,7.79,1.87,Sturmx,31,200,42,0.12796885211512077
clipped,True,12,10,0.10189258554215636,0.11934745627283877,0.0665,0.07108456284860228,0.20746825396825397,0.2731776448225577,0.665,0.375,7.79,1.87,Sturmx,31,200,42,0.12796885211512077
clipped,True,12,5,0.11049533668038002,0.18750858987766333,0.07600000000000001,0.11956369594042612,0.19116666666666668,0.3255494432151069,0.38,0.21,4.0,1.025,TheFunkyFetus,17,200,42,0.12796885211512077
clipped,True,12,10,0.11806683123371306,0.18568680808209354,0.046000000000000006,0.062478136879549305,0.2003214285714286,0.3218763932170201,0.46,0.22,4.0,1.025,TheFunkyFetus,17,200,42,0.12796885211512077
clipped,True,12,5,0.00250059099606174,0.020320510613550048,0.0030000000000000005,0.02437149665585254,0.004333333333333333,0.03603924903056064,0.015,0.015,9.9,4.135,YungJollof,44,200,42,0.12796885211512077
clipped,True,12,10,0.004226876683897639,0.021280279823108594,0.004,0.019645092217681397,0.007103174603174603,0.03977859873907586,0.04,0.04,9.9,4.135,YungJollof,44,200,42,0.12796885211512077
clipped,True,12,5,0.1697474903190605,0.13759901503667435,0.21900000000000003,0.15736204774453003,0.31175,0.2024128428768146,1.095,0.685,12.465,4.21,heemini,64,200,42,0.12796885211512077
clipped,True,12,10,0.1524041820408089,0.11657978262865945,0.129,0.08887346320646877,0.31724007936507936,0.1956477511898672,1.29,0.79,12.465,4.21,heemini,64,200,42,0.12796885211512077
clipped,True,12,5,0.045908897276007415,0.08103061095729384,0.062,0.0969691449656894,0.15141666666666667,0.28892056128187726,0.31,0.045,5.535,1.78,kaninhoppning,26,200,42,0.12796885211512077
clipped,True,12,10,0.06318647430366671,0.08953633227979879,0.051000000000000004,0.0641840945246542,0.16981547619047618,0.2828757599685002,0.51,0.13,5.535,1.78,kaninhoppning,26,200,42,0.12796885211512077
clipped,True,12,5,0.08330079733195678,0.14806642051988816,0.069,0.10533030125186697,0.19766666666666666,0.3411603676082222,0.345,0.185,6.525,1.95,leoabx,29,200,42,0.12796885211512077
clipped,True,12,10,0.09047578430866766,0.13998485610783004,0.051000000000000004,0.06418409452465422,0.2123531746031746,0.3351821548856741,0.51,0.25,6.525,1.95,leoabx,29,200,42,0.12796885211512077
clipped,True,12,5,0.48585267046742975,0.21707729031614986,0.455,0.2044111533111389,0.8340000000000001,0.2880111434657851,2.275,1.965,17.245,8.055,DanteNani2004,75,200,42,0.12796885211512077
clipped,True,12,10,0.40242621760469555,0.15325930842943322,0.3165,0.13291380816909143,0.836672619047619,0.2807736080953732,3.165,2.64,17.245,8.055,DanteNani2004,75,200,42,0.12796885211512077
clipped,True,12,5,0.5466340222877896,0.2524469766098922,0.48200000000000004,0.2123711551451572,0.8515833333333334,0.2778918679716214,2.41,0.905,19.08,1.49,KuiKuix,80,200,42,0.12796885211512077
clipped,True,12,10,0.49836143601937144,0.19675768564166563,0.40149999999999997,0.13908440732810073,0.8558531746031746,0.26557555558217544,4.015,0.945,19.08,1.49,KuiKuix,80,200,42,0.12796885211512077
clipped,True,12,5,0.18626065485188284,0.16509560241182952,0.24700000000000003,0.18153726585600088,0.5734166666666667,0.4160148922381634,1.235,0.53,32.975,7.025,LILITH_OG,139,200,42,0.12796885211512077
clipped,True,12,10,0.16443957528827263,0.12494010364366058,0.17900000000000002,0.11279456132866794,0.5900337301587302,0.3947547800236779,1.79,0.755,32.975,7.025,LILITH_OG,139,200,42,0.12796885211512077
clipped,True,12,5,0.183966256072868,0.14255276399899514,0.24,0.17013148920200064,0.28258333333333335,0.18315658832238635,1.2,1.055,26.695,8.99,Lemmegoxd,128,200,42,0.12796885211512077
clipped,True,12,10,0.2227152127486281,0.11049284609711822,0.2735,0.12133159845613006,0.3065099206349206,0.1518060981844489,2.735,2.195,26.695,8.99,Lemmegoxd,128,200,42,0.12796885211512077
clipped,True,12,5,0.054323639712515276,0.09865733378227257,0.059000000000000004,0.1018373913224253,0.111,0.20698602870822463,0.295,0.29,63.25,22.28,LuffyThiago,276,200,42,0.12796885211512077
clipped,True,12,10,0.04359263588754743,0.06567377613074156,0.042,0.058764498905872514,0.12407142857142857,0.20378263479955186,0.42,0.405,63.25,22.28,LuffyThiago,276,200,42,0.12796885211512077
clipped,True,12,5,0.06756569795571568,0.10267559714956706,0.07800000000000001,0.1094343611348142,0.136,0.24099319895600496,0.39,0.38,23.95,8.175,Qhair,112,200,42,0.12796885211512077
clipped,True,12,10,0.08468148055094585,0.0922247307990784,0.09,0.09404371911790624,0.16892857142857143,0.2288972209393828,0.9,0.86,23.95,8.175,Qhair,112,200,42,0.12796885211512077
clipped,True,12,5,0.24856002684514053,0.19566597363952146,0.24600000000000002,0.18124083757815224,0.48458333333333337,0.3771344892052088,1.23,1.105,18.015,7.755,SteelPax,84,200,42,0.12796885211512077
clipped,True,12,10,0.2350047230787023,0.14094884687456116,0.20800000000000002,0.1126920471348231,0.5038750000000001,0.3547103823246412,2.08,1.79,18.015,7.755,SteelPax,84,200,42,0.12796885211512077
clipped,True,12,5,0.5498975038960195,0.20709412894947044,0.5870000000000001,0.20844241700294627,0.7791666666666667,0.26938392604080313,2.935,2.505,46.235,31.76,chekkit,262,200,42,0.12796885211512077
clipped,True,12,10,0.426455417987597,0.14628501517607903,0.426,0.13971974821119956,0.782142857142857,0.26142846464081615,4.26,3.31,46.235,31.76,chekkit,262,200,42,0.12796885211512077
clipped,True,12,5,0.6215104910970018,0.19507259719576492,0.541,0.2157585659805188,0.9572499999999999,0.18308249552456995,2.705,2.45,15.28,6.41,elienai_s,67,200,42,0.12796885211512077
clipped,True,12,10,0.5069814581411033,0.14645505597464584,0.319,0.1273581583665238,0.9586388888888889,0.1762001621628793,3.19,2.785,15.28,6.41,elienai_s,67,200,42,0.12796885211512077
clipped,True,12,5,0.20208813401306114,0.18103669541746,0.222,0.19104578629823676,0.31725,0.2824247798643155,1.11,1.095,32.325,17.715,ikodrmz,158,200,42,0.12796885211512077
clipped,True,12,10,0.17225555024285957,0.13355270895166924,0.171,0.12900469392730018,0.336109126984127,0.26460368185198035,1.71,1.66,32.325,17.715,ikodrmz,158,200,42,0.12796885211512077
clipped,True,12,5,0.32398858786019574,0.18725057218229987,0.359,0.17741584458426407,0.5895833333333333,0.3459845333536356,1.795,1.475,109.225,55.49,Czerik,457,200,42,0.12796885211512077
