username,requested_knn_neighbors,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,valid_runs,score_count,avg_train_count,avg_actual_knn_neighbors,min_actual_knn_neighbors,max_actual_knn_neighbors
Vurnox,300,5,0.8391870777243646,0.14352550008448273,0.938,0.126155267488724,1.0,0.0,4.69,3.65,106.18,45.76,100,661,496.0,300.0,300,300
Vurnox,200,5,0.820852828406364,0.16446928961599505,0.87,0.18285060413994653,0.99,0.1,4.35,3.62,106.18,45.76,100,661,496.0,200.0,200,200
Vurnox,250,5,0.8179883291961917,0.15585212279645463,0.888,0.1539250768813493,0.9933333333333333,0.0666666666666667,4.44,3.56,106.18,45.76,100,661,496.0,250.0,250,250
DaiShi57,150,5,0.8151458847693016,0.18050357454415367,0.774,0.20031288656812002,0.975,0.13055824196677338,3.87,3.87,15.44,15.44,100,190,142.0,142.0,142,142
DaiShi57,200,5,0.8151458847693016,0.18050357454415367,0.774,0.20031288656812002,0.975,0.13055824196677338,3.87,3.87,15.44,15.44,100,190,142.0,142.0,142,142
DaiShi57,250,5,0.8151458847693016,0.18050357454415367,0.774,0.20031288656812002,0.975,0.13055824196677338,3.87,3.87,15.44,15.44,100,190,142.0,142.0,142,142
DaiShi57,300,5,0.8151458847693016,0.18050357454415367,0.774,0.20031288656812002,0.975,0.13055824196677338,3.87,3.87,15.44,15.44,100,190,142.0,142.0,142,142
Vurnox,150,5,0.7989475036916787,0.17522399374616984,0.83,0.1956599813013083,0.995,0.049999999999999996,4.15,3.48,106.18,45.76,100,661,496.0,150.0,150,150
Vurnox,100,5,0.7717432049796432,0.18204881869746703,0.77,0.20961725582450014,0.995,0.049999999999999996,3.85,3.36,106.18,45.76,100,661,496.0,100.0,100,100
DaiShi57,100,5,0.7552098715267012,0.19684221070445704,0.71,0.2096172558245001,0.9433333333333332,0.17761987937396406,3.55,3.55,15.44,15.44,100,190,142.0,100.0,100,100
DanteNani2004,100,5,0.6872611873475283,0.2007291273280559,0.65,0.2298440402278963,0.985,0.11135075167680682,3.25,2.86,17.19,8.18,100,75,56.0,56.0,56,56
DanteNani2004,150,5,0.6872611873475283,0.2007291273280559,0.65,0.2298440402278963,0.985,0.11135075167680682,3.25,2.86,17.19,8.18,100,75,56.0,56.0,56,56
DanteNani2004,200,5,0.6872611873475283,0.2007291273280559,0.65,0.2298440402278963,0.985,0.11135075167680682,3.25,2.86,17.19,8.18,100,75,56.0,56.0,56,56
DanteNani2004,250,5,0.6872611873475283,0.2007291273280559,0.65,0.2298440402278963,0.985,0.11135075167680682,3.25,2.86,17.19,8.18,100,75,56.0,56.0,56,56
DanteNani2004,300,5,0.6872611873475283,0.2007291273280559,0.65,0.2298440402278963,0.985,0.11135075167680682,3.25,2.86,17.19,8.18,100,75,56.0,56.0,56,56
DanteNani2004,50,5,0.6764415195950605,0.20027660393601282,0.632,0.22691608380833012,0.985,0.11135075167680682,3.16,2.79,17.19,8.18,100,75,56.0,50.0,50,50
Vurnox,50,5,0.6575684136401978,0.22253372581226188,0.594,0.26583962659977367,0.98,0.1407052941362897,2.97,2.72,106.18,45.76,100,661,496.0,50.0,50,50
Moonshyla,100,5,0.641229638542676,0.20371978353873468,0.6459999999999999,0.23068628397926394,0.987,0.09391055275735481,3.23,2.45,35.29,7.28,100,144,108.0,100.0,100,100
Moonshyla,150,5,0.6395849073360451,0.20472379455065245,0.6579999999999999,0.23319476404884815,0.985,0.11135075167680683,3.29,2.4,35.29,7.28,100,144,108.0,108.0,108,108
Moonshyla,200,5,0.6395849073360451,0.20472379455065245,0.6579999999999999,0.23319476404884815,0.985,0.11135075167680683,3.29,2.4,35.29,7.28,100,144,108.0,108.0,108,108
Moonshyla,250,5,0.6395849073360451,0.20472379455065245,0.6579999999999999,0.23319476404884815,0.985,0.11135075167680683,3.29,2.4,35.29,7.28,100,144,108.0,108.0,108,108
Moonshyla,300,5,0.6395849073360451,0.20472379455065245,0.6579999999999999,0.23319476404884815,0.985,0.11135075167680683,3.29,2.4,35.29,7.28,100,144,108.0,108.0,108,108
Moonshyla,50,5,0.6387822450753303,0.21259439809033817,0.644,0.2405045202120414,0.9833333333333333,0.11962342709421224,3.22,2.47,35.29,7.28,100,144,108.0,50.0,50,50
Edison-great,50,5,0.6301165730795685,0.2257227392051562,0.638,0.22508359838652445,0.8495,0.246609500610268,3.19,2.92,90.2,39.17,100,459,344.0,50.0,50,50
Edison-great,150,5,0.6181237165243216,0.22139157986248498,0.614,0.2224836845680822,0.8583333333333333,0.2361482442576977,3.07,2.84,90.2,39.17,100,459,344.0,150.0,150,150
Edison-great,100,5,0.6124085143230676,0.22361432046163313,0.602,0.22291910930409106,0.8633333333333333,0.2346643135786523,3.01,2.8,90.2,39.17,100,459,344.0,100.0,100,100
