bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,component,score_count,n_runs,max_tfidf_features,clip_predictions,svd_explained_variance,candidate_universe_size
0,5,0.01177011624312014,0.04080051690536735,0.016,0.054531984868858144,0.020499999999999997,0.07490566457791151,0.08,0.08,27.61,15.48,LoyJoy,50,231,100,3000,False,0.12783040142102292,4859
0,5,0.4441229777877378,0.23591616727274503,0.40399999999999997,0.21268841914021464,0.7671666666666667,0.3403096150845101,2.02,1.85,17.19,8.18,DanteNani2004,50,75,100,3000,False,0.12783040142102292,4859
0,5,0.026811211799511375,0.05790664470436004,0.036000000000000004,0.07722458393307383,0.047,0.10351238966816874,0.18,0.18,41.19,21.31,Kutu_Mastor,50,237,100,3000,False,0.12783040142102292,4859
0,5,0.03783396391774988,0.07076145520389282,0.046000000000000006,0.08459051693633014,0.073,0.14220841157692582,0.23,0.23,14.55,8.34,Dadalt,50,68,100,3000,False,0.12783040142102292,4859
0,5,0.07967513141440258,0.10820932345892431,0.11200000000000002,0.13727506854649335,0.3343333333333333,0.4255505445810943,0.56,0.26,32.46,18.08,yorkie_pro,50,187,100,3000,False,0.12783040142102292,4859
0,5,0.0016958010263680803,0.0169580102636808,0.002,0.019999999999999993,0.003333333333333333,0.03333333333333334,0.01,0.01,23.48,23.48,Opelo_Stradyon,50,395,100,3000,False,0.12783040142102292,4859
0,5,0.12847049481087658,0.1066086230729369,0.21400000000000002,0.14840566843703248,0.26233333333333336,0.17792954380575074,1.07,0.64,16.53,8.52,Captn_Cook,50,79,100,3000,False,0.12783040142102292,4859
0,5,0.030969119523411845,0.06998780738355172,0.05,0.09999999999999999,0.06483333333333334,0.13263484974546982,0.25,0.17,19.83,9.35,Dinterdos123,50,83,100,3000,False,0.12783040142102292,4859
0,5,0.10304583634788578,0.11720042730047618,0.158,0.16647261430376867,0.18166666666666667,0.17710573734290921,0.79,0.58,48.0,17.9,Ebelha,50,191,100,3000,False,0.12783040142102292,4859
0,5,0.06370600179285296,0.06876724949482965,0.12200000000000001,0.1020793907711151,0.13416666666666668,0.11932693303378865,0.61,0.37,35.29,7.28,Moonshyla,50,144,100,3000,False,0.12783040142102292,4859
0,5,0.12078938253533877,0.14989203277472374,0.11,0.13142574813455418,0.2703333333333333,0.36769506836462096,0.55,0.55,60.88,33.29,LocNguyen,50,572,100,3000,False,0.12783040142102292,4859
0,5,0.0040847850486739005,0.023375926636723734,0.006000000000000001,0.03428932159955306,0.006500000000000001,0.0373726794827073,0.03,0.03,41.06,26.91,IM_C4,50,228,100,3000,False,0.12783040142102292,4859
0,5,0.003936152325370253,0.022494665491574868,0.006000000000000001,0.03428932159955306,0.006000000000000001,0.03428932159955306,0.03,0.03,34.29,9.94,HumanRat,50,161,100,3000,False,0.12783040142102292,4859
0,5,0.03637558191335406,0.0851271733316379,0.034,0.07550503361372739,0.08533333333333333,0.2162879362804856,0.17,0.17,27.24,5.73,KSTTK,50,138,100,3000,False,0.12783040142102292,4859
0,5,0.378837163570342,0.12054672156470482,0.486,0.15636011271575895,0.3545,0.10430828756728228,2.43,2.43,15.44,15.44,DaiShi57,50,190,100,3000,False,0.12783040142102292,4859
0,5,0.02308945950266036,0.052401829018883725,0.034,0.07550503361372737,0.03966666666666667,0.08988644788235235,0.17,0.16,32.02,12.67,dareggon,50,145,100,3000,False,0.12783040142102292,4859
0,5,0.07601134377255778,0.10974468664255413,0.114,0.1484056684370325,0.16566666666666666,0.23227054738588898,0.57,0.35,18.79,7.16,pensa89,50,92,100,3000,False,0.12783040142102292,4859
0,5,0.021103106682087237,0.06940148509433745,0.02,0.06030226891555273,0.050166666666666665,0.18540299480484076,0.1,0.1,32.63,17.87,MarnikBe,50,163,100,3000,False,0.12783040142102292,4859
0,5,0.05874467839043358,0.09148111069529972,0.064,0.09797958971132711,0.12233333333333332,0.1962073046481868,0.32,0.32,90.2,39.17,Edison-great,50,459,100,3000,False,0.12783040142102292,4859
0,5,0.13498980871311425,0.17338090544594104,0.13,0.15666989036012804,0.28600000000000003,0.36731439574275515,0.65,0.58,23.96,11.67,TheRealist68,50,149,100,3000,False,0.12783040142102292,4859
0,5,0.06655189983813455,0.08472970567320284,0.124,0.1498281844263116,0.12016666666666667,0.13524087916909125,0.62,0.39,45.98,25.59,MeloniaShaby,50,220,100,3000,False,0.12783040142102292,4859
0,5,0.08866302892729187,0.12049183026224648,0.098,0.12869194287761826,0.1733333333333333,0.26060018785959826,0.49,0.48,187.09,26.89,Irseus,50,775,100,3000,False,0.12783040142102292,4859
0,5,0.011957089699414407,0.03823861054937677,0.018000000000000002,0.057524698252932285,0.018500000000000003,0.05931213444927852,0.09,0.09,37.86,21.92,AkiAki_Akira,50,234,100,3000,False,0.12783040142102292,4859
0,5,0.045049060056314094,0.07412513084114299,0.05600000000000001,0.09025217197084258,0.08533333333333333,0.14786698909711546,0.28,0.28,85.95,51.45,GrumbleDango,50,488,100,3000,False,0.12783040142102292,4859
0,5,0.49079604745254807,0.15350736112398874,0.5880000000000001,0.18383127969401558,0.48700000000000004,0.06407329557145632,2.94,2.78,106.18,45.76,Vurnox,50,661,100,3000,False,0.12783040142102292,4859
0,5,0.014861651747073566,0.04828675893132252,0.02,0.06030226891555271,0.033666666666666664,0.10772569813261537,0.1,0.08,20.45,12.71,xF0x,50,135,100,3000,False,0.12783040142102292,4859
0,5,0.13839135655704182,0.14059847717928003,0.166,0.14786015779318734,0.2658333333333333,0.2636548669926064,0.83,0.71,35.49,19.37,alfalfy,50,161,100,3000,False,0.12783040142102292,4859
0,5,0.3058007073129136,0.2034598765301314,0.308,0.20581446975272652,0.5203333333333333,0.32929012516622264,1.54,1.44,87.15,16.15,Siipn,50,448,100,3000,False,0.12783040142102292,4859
0,5,0.03932501906964566,0.06202414548673198,0.05800000000000001,0.09120960431441374,0.06233333333333333,0.09937006981184413,0.29,0.29,41.49,16.4,Haileytokar,50,198,100,3000,False,0.12783040142102292,4859
0,5,0.010249121374960543,0.03778282120883158,0.014000000000000002,0.05128647999524856,0.017666666666666667,0.06636379010790426,0.07,0.07,27.61,15.48,LoyJoy,100,231,100,3000,False,0.1940193341423156,4859
0,5,0.44749771200568483,0.2361085514586149,0.40800000000000003,0.21446668644794134,0.7696666666666667,0.3423312498502261,2.04,1.88,17.19,8.18,DanteNani2004,100,75,100,3000,False,0.1940193341423156,4859
0,5,0.021563008699017706,0.05398217574620644,0.028000000000000004,0.06974701760395541,0.039,0.09896263281462701,0.14,0.14,41.19,21.31,Kutu_Mastor,100,237,100,3000,False,0.1940193341423156,4859
0,5,0.03768533119444624,0.07054710039953166,0.046000000000000006,0.08459051693633014,0.0725,0.14166666666666672,0.23,0.23,14.55,8.34,Dadalt,100,68,100,3000,False,0.1940193341423156,4859
0,5,0.0829099884485114,0.11452987027398608,0.11600000000000002,0.13978338220043873,0.33766666666666667,0.4242086446388233,0.58,0.28,32.46,18.08,yorkie_pro,100,187,100,3000,False,0.1940193341423156,4859
