score_variant,clip_predictions,bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,score_count,n_runs,random_state,svd_explained_variance
unclipped,False,12,5,0.020308616290421848,0.07343913368931146,0.016,0.054394797268206126,0.04591666666666667,0.1835615870098434,0.08,0.08,9.92,3.475,Cresherhsm,43,200,42,0.12796885211512077
unclipped,False,12,10,0.025048124810029403,0.06491880753076398,0.016,0.03675260220507142,0.05728174603174603,0.18494189159099536,0.16,0.155,9.92,3.475,Cresherhsm,43,200,42,0.12796885211512077
unclipped,False,12,5,0.1392958816559558,0.1322855325895943,0.16699999999999998,0.14427430601768432,0.2755,0.2477532205470946,0.835,0.71,14.665,8.28,Dadalt,68,200,42,0.12796885211512077
unclipped,False,12,10,0.11864067969966734,0.09554741954169818,0.1165,0.08726871802500964,0.28925595238095236,0.23544792635480186,1.165,0.95,14.665,8.28,Dadalt,68,200,42,0.12796885211512077
unclipped,False,12,5,0.005222030810488597,0.030257843324250536,0.006000000000000001,0.0342030590186193,0.010583333333333333,0.06349616509344905,0.03,0.03,17.495,9.425,Emily3k,79,200,42,0.12796885211512077
unclipped,False,12,10,0.007383488068202585,0.02527386481938765,0.0085,0.027958152504364203,0.017724206349206347,0.0691668900155194,0.085,0.085,17.495,9.425,Emily3k,79,200,42,0.12796885211512077
unclipped,False,12,5,0.10291420044685286,0.13517534448620347,0.09700000000000002,0.12026352972915176,0.18316666666666667,0.26056669547687106,0.485,0.335,7.79,1.87,Sturmx,31,200,42,0.12796885211512077
unclipped,False,12,10,0.10678538635414997,0.12087447261175656,0.07050000000000001,0.07421109372702175,0.19948214285714286,0.25283819045198763,0.705,0.415,7.79,1.87,Sturmx,31,200,42,0.12796885211512077
unclipped,False,12,5,0.12084529077853748,0.22109861663250555,0.075,0.11935757686790939,0.20375,0.3559239339151953,0.375,0.21,4.0,1.025,TheFunkyFetus,17,200,42,0.12796885211512077
unclipped,False,12,10,0.1288396901910974,0.21895559913907797,0.046000000000000006,0.062478136879549305,0.21303174603174604,0.35211784087002007,0.46,0.22,4.0,1.025,TheFunkyFetus,17,200,42,0.12796885211512077
unclipped,False,12,5,0.0008479005131840401,0.011991124052879769,0.001,0.01414213562373095,0.0016666666666666666,0.02357022603955159,0.005,0.005,9.9,4.135,YungJollof,44,200,42,0.12796885211512077
unclipped,False,12,10,0.003900403693554833,0.01932277202185533,0.004,0.019645092217681393,0.00601984126984127,0.03291873909854094,0.04,0.04,9.9,4.135,YungJollof,44,200,42,0.12796885211512077
unclipped,False,12,5,0.1697474903190605,0.13759901503667435,0.21900000000000003,0.15736204774453003,0.31175,0.2024128428768146,1.095,0.685,12.465,4.21,heemini,64,200,42,0.12796885211512077
unclipped,False,12,10,0.15237131881169627,0.11659488791349307,0.129,0.08887346320646877,0.31712103174603173,0.1957470510126692,1.29,0.79,12.465,4.21,heemini,64,200,42,0.12796885211512077
unclipped,False,12,5,0.052610519462521745,0.08877114868120384,0.07100000000000001,0.10398589003626006,0.1728333333333333,0.29643004321300326,0.355,0.045,5.535,1.78,kaninhoppning,26,200,42,0.12796885211512077
unclipped,False,12,10,0.06874766912352363,0.09635047494223825,0.054000000000000006,0.06561651955255593,0.1893888888888889,0.2899945960219045,0.54,0.13,5.535,1.78,kaninhoppning,26,200,42,0.12796885211512077
unclipped,False,12,5,0.06742538461365094,0.13799418800470417,0.053000000000000005,0.09292023920692068,0.15016666666666667,0.30213732406098287,0.265,0.155,6.525,1.95,leoabx,29,200,42,0.12796885211512077
unclipped,False,12,10,0.07611428475031684,0.13208663935824289,0.0415,0.057831413278676184,0.16575992063492062,0.2975340134763994,0.415,0.225,6.525,1.95,leoabx,29,200,42,0.12796885211512077
unclipped,False,12,5,0.48585267046742975,0.21707729031614986,0.455,0.2044111533111389,0.8340000000000001,0.2880111434657851,2.275,1.965,17.245,8.055,DanteNani2004,75,200,42,0.12796885211512077
unclipped,False,12,10,0.40242621760469555,0.15325930842943322,0.3165,0.13291380816909143,0.836672619047619,0.2807736080953732,3.165,2.64,17.245,8.055,DanteNani2004,75,200,42,0.12796885211512077
unclipped,False,12,5,0.5405808274093904,0.25591615596147294,0.48,0.21313642503896876,0.8339166666666666,0.2879943617034474,2.4,0.905,19.08,1.49,KuiKuix,80,200,42,0.12796885211512077
unclipped,False,12,10,0.4914271350604533,0.20021493646007368,0.396,0.1410085709644174,0.8389305555555555,0.27433608750208116,3.96,0.945,19.08,1.49,KuiKuix,80,200,42,0.12796885211512077
unclipped,False,12,5,0.18618633849023106,0.16496364086759013,0.24700000000000003,0.18153726585600088,0.5734166666666667,0.4160148922381634,1.235,0.53,32.975,7.025,LILITH_OG,139,200,42,0.12796885211512077
unclipped,False,12,10,0.16438395931445343,0.1248536599657046,0.17900000000000002,0.11279456132866794,0.5900337301587302,0.3947547800236779,1.79,0.755,32.975,7.025,LILITH_OG,139,200,42,0.12796885211512077
unclipped,False,12,5,0.183966256072868,0.14255276399899514,0.24,0.17013148920200064,0.28258333333333335,0.18315658832238635,1.2,1.055,26.695,8.99,Lemmegoxd,128,200,42,0.12796885211512077
unclipped,False,12,10,0.2227152127486281,0.11049284609711822,0.2735,0.12133159845613006,0.3065099206349206,0.1518060981844489,2.735,2.195,26.695,8.99,Lemmegoxd,128,200,42,0.12796885211512077
unclipped,False,12,5,0.054323639712515276,0.09865733378227257,0.059000000000000004,0.1018373913224253,0.111,0.20698602870822463,0.295,0.29,63.25,22.28,LuffyThiago,276,200,42,0.12796885211512077
unclipped,False,12,10,0.04359263588754743,0.06567377613074156,0.042,0.058764498905872514,0.12407142857142857,0.20378263479955186,0.42,0.405,63.25,22.28,LuffyThiago,276,200,42,0.12796885211512077
unclipped,False,12,5,0.04512757807122908,0.07527678167951725,0.059000000000000004,0.09573308790905587,0.07958333333333333,0.14356120622577087,0.295,0.295,23.95,8.175,Qhair,112,200,42,0.12796885211512077
unclipped,False,12,10,0.06760621418223767,0.07348285306664028,0.0805,0.08836738068908258,0.11622420634920635,0.13559618712649713,0.805,0.765,23.95,8.175,Qhair,112,200,42,0.12796885211512077
unclipped,False,12,5,0.25950224585670256,0.20177460475140285,0.253,0.18428457347293214,0.5045833333333334,0.3815611116316071,1.265,1.14,18.015,7.755,SteelPax,84,200,42,0.12796885211512077
unclipped,False,12,10,0.24152336662315246,0.141860122900846,0.2095,0.11145339517700843,0.5242083333333334,0.35796730126353155,2.095,1.805,18.015,7.755,SteelPax,84,200,42,0.12796885211512077
unclipped,False,12,5,0.5439933629280803,0.20629991097460412,0.586,0.20001004999875005,0.7583333333333333,0.27340216480231644,2.93,2.505,46.235,31.76,chekkit,262,200,42,0.12796885211512077
unclipped,False,12,10,0.4241088309618422,0.14607477364557922,0.424,0.14007894400217263,0.7605952380952381,0.267657432661845,4.24,3.345,46.235,31.76,chekkit,262,200,42,0.12796885211512077
unclipped,False,12,5,0.621436480826839,0.19510017016719783,0.541,0.2157585659805188,0.9572499999999999,0.18308249552456995,2.705,2.45,15.28,6.41,elienai_s,67,200,42,0.12796885211512077
unclipped,False,12,10,0.5069227604714057,0.1464452271108824,0.319,0.1273581583665238,0.9586388888888889,0.1762001621628793,3.19,2.785,15.28,6.41,elienai_s,67,200,42,0.12796885211512077
unclipped,False,12,5,0.20208813401306114,0.18103669541746,0.222,0.19104578629823676,0.31725,0.2824247798643155,1.11,1.095,32.325,17.715,ikodrmz,158,200,42,0.12796885211512077
unclipped,False,12,10,0.17225555024285957,0.13355270895166924,0.171,0.12900469392730018,0.336109126984127,0.26460368185198035,1.71,1.66,32.325,17.715,ikodrmz,158,200,42,0.12796885211512077
unclipped,False,12,5,0.3248672562412239,0.18660330826458554,0.361,0.1767347613781652,0.5854166666666667,0.3456313359342237,1.805,1.485,109.225,55.49,Czerik,457,200,42,0.12796885211512077
unclipped,False,12,10,0.2911098433326893,0.13098870768302565,0.3225,0.12618782363671563,0.5939285714285714,0.33273315365663814,3.225,2.475,109.225,55.49,Czerik,457,200,42,0.12796885211512077
unclipped,False,12,5,0.7737752827357055,0.1905887574378612,0.7959999999999999,0.19743073335314795,0.99,0.08623912064514712,3.98,3.335,54.115,20.48,DoomSlayer_OG,361,200,42,0.12796885211512077
unclipped,False,12,10,0.6023102501011884,0.1435754283670195,0.6104999999999999,0.15282844193184922,0.9907142857142857,0.07821658435588125,6.105,4.39,54.115,20.48,DoomSlayer_OG,361,200,42,0.12796885211512077
unclipped,False,12,5,0.838537957704919,0.1340344408035986,0.9109999999999999,0.13553912450416958,0.9975,0.03535533905932737,4.555,3.7,90.95,25.06,Goril,432,200,42,0.12796885211512077
unclipped,False,12,10,0.698296759732336,0.11422877233605462,0.7795000000000001,0.11574425976410975,0.9975,0.03535533905932737,7.795,5.345,90.95,25.06,Goril,432,200,42,0.12796885211512077
unclipped,False,12,5,0.08025211787772292,0.08556614578003446,0.11600000000000002,0.12090113906467415,0.13483333333333333,0.135515950590038,0.58,0.525,186.87,27.15,Irseus,775,200,42,0.12796885211512077
unclipped,False,12,10,0.11515107066253188,0.06224677983022516,0.209,0.09088620086425488,0.1948373015873016,0.0838425606828847,2.09,1.135,186.87,27.15,Irseus,775,200,42,0.12796885211512077
unclipped,False,12,5,0.020452972464588104,0.05011538747266785,0.031,0.07256257046967005,0.04041666666666667,0.0969875328003792,0.155,0.13,60.49,32.99,LocNguyen,572,200,42,0.12796885211512077
unclipped,False,12,10,0.03262034136657147,0.045605719315639406,0.0525,0.06569114577449406,0.078,0.10038293779373583,0.525,0.355,60.49,32.99,LocNguyen,572,200,42,0.12796885211512077
unclipped,False,12,5,0.16797069648291496,0.16744716979088392,0.149,0.13890816170022074,0.3725,0.39377750096724257,0.745,0.745,23.65,23.65,Opelo_Stradyon,395,200,42,0.12796885211512077
unclipped,False,12,10,0.16358287416779776,0.1157948333051522,0.1525,0.0961246573400588,0.4051865079365079,0.36610580246353935,1.525,1.525,23.65,23.65,Opelo_Stradyon,395,200,42,0.12796885211512077
unclipped,False,12,5,0.09764367800586303,0.10481961426689529,0.12200000000000001,0.11125596364795999,0.19824999999999998,0.23898046463897832,0.61,0.56,49.57,25.96,Stusbu,258,200,42,0.12796885211512077
unclipped,False,12,10,0.10841881788673312,0.08438250014283907,0.14100000000000001,0.09143743226983411,0.23321626984126984,0.21661658126537825,1.41,1.11,49.57,25.96,Stusbu,258,200,42,0.12796885211512077
unclipped,False,12,5,0.4667762151650321,0.23145628588048817,0.415,0.2092700882812597,0.7875,0.33751046884935954,2.075,1.99,104.99,52.21,azriqluqman,440,200,42,0.12796885211512077
unclipped,False,12,10,0.37347991320442636,0.1536605003343334,0.331,0.12536980473662104,0.7979960317460317,0.3141496147310834,3.31,2.89,104.99,52.21,azriqluqman,440,200,42,0.12796885211512077
unclipped,False,12,5,0.8257262614173253,0.08985186436909513,0.813,0.06673279802060071,0.96,0.13598699317051532,4.065,3.995,291.325,146.125,chenamaty,1503,200,42,0.12796885211512077
unclipped,False,12,10,0.8289341244721905,0.08237993149713747,0.8460000000000001,0.07423986657413068,0.96,0.13598699317051532,8.46,8.035,291.325,146.125,chenamaty,1503,200,42,0.12796885211512077
unclipped,False,12,5,0.3285919012356925,0.18500324949235852,0.47100000000000003,0.18255308307641233,0.55725,0.2911047590422019,2.355,1.35,143.505,8.845,okami20,699,200,42,0.12796885211512077
unclipped,False,12,10,0.29010768001435117,0.13811352235394433,0.419,0.14882791654699262,0.5596309523809524,0.28714300372386514,4.19,1.615,143.505,8.845,okami20,699,200,42,0.12796885211512077
