experiment,model,k,n_runs,uncertainty_weight,knn_metric,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits,notes,bayesian_precision,knn_precision,mean_difference,paired_t_stat,paired_t_p_value,wilcoxon_stat,wilcoxon_p_value
broad_model_comparison,bayesian_ridge,5,50,20,cosine,0.564,0.188181,0.088125,0.029403,2.82,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
broad_model_comparison,knn,5,50,20,cosine,0.26,0.157791,0.040625,0.024655,1.3,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
broad_model_comparison,global_mean,5,50,20,cosine,0.12,0.139971,0.01875,0.02187,0.6,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
broad_model_comparison,lasso_cv,5,50,20,cosine,0.12,0.139971,0.01875,0.02187,0.6,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
broad_model_comparison,elastic_net_cv,5,50,20,cosine,0.116,0.134559,0.018125,0.021025,0.58,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
broad_model_comparison,gradient_boosting,5,50,20,cosine,0.108,0.152315,0.016875,0.023799,0.54,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
broad_model_comparison,ridge_cv,5,50,20,cosine,0.104,0.100934,0.01625,0.015771,0.52,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
broad_model_comparison,bayesian_ridge,10,50,20,cosine,0.41,0.129756,0.128125,0.040549,4.1,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
broad_model_comparison,knn,10,50,20,cosine,0.212,0.104276,0.06625,0.032586,2.12,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
broad_model_comparison,gradient_boosting,10,50,20,cosine,0.102,0.084491,0.031875,0.026404,1.02,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
broad_model_comparison,ridge_cv,10,50,20,cosine,0.096,0.085619,0.03,0.026756,0.96,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
broad_model_comparison,elastic_net_cv,10,50,20,cosine,0.088,0.079898,0.0275,0.024968,0.88,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
broad_model_comparison,lasso_cv,10,50,20,cosine,0.088,0.079898,0.0275,0.024968,0.88,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
broad_model_comparison,global_mean,10,50,20,cosine,0.06,0.069985,0.01875,0.02187,0.6,Broad 50-run comparison with selected current-corpus feature set,,,,,,,
focused_bayesian_vs_knn,bayesian_ridge,5,500,20,cosine,0.5824,0.201025,0.091,0.03141,2.912,Focused 500-run paired comparison,,,,,,,
focused_bayesian_vs_knn,knn,5,500,20,cosine,0.2396,0.162495,0.037437,0.02539,1.198,Focused 500-run paired comparison,,,,,,,
focused_bayesian_vs_knn,global_mean,5,500,20,cosine,0.0976,0.121093,0.01525,0.018921,0.488,Focused 500-run paired comparison,,,,,,,
focused_bayesian_vs_knn,bayesian_ridge,10,500,20,cosine,0.4088,0.142559,0.12775,0.04455,4.088,Focused 500-run paired comparison,,,,,,,
focused_bayesian_vs_knn,knn,10,500,20,cosine,0.213,0.108971,0.066562,0.034054,2.13,Focused 500-run paired comparison,,,,,,,
focused_bayesian_vs_knn,global_mean,10,500,20,cosine,0.0488,0.060547,0.01525,0.018921,0.488,Focused 500-run paired comparison,,,,,,,
focused_significance_test,bayesian_vs_knn,5,500,20,cosine,,,,,,Paired one-sided Bayesian Ridge > KNN precision test,0.5824,0.2396,0.3428,27.804722,9.058178e-104,119204.5,3.329072e-69
focused_significance_test,bayesian_vs_knn,10,500,20,cosine,,,,,,Paired one-sided Bayesian Ridge > KNN precision test,0.4088,0.213,0.1958,24.090944,6.100421e-86,116757.5,1.964112e-63
