bayesian_uncertainty_weight,k,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits,avg_ndcg_at_k,std_ndcg_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,baseline_avg_precision_at_k,baseline_std_precision_at_k,baseline_avg_hit_rate,baseline_std_hit_rate,baseline_avg_hits,component,n_feature,clip_predictions,n_runs,svd_explained_variance
14,5,0.5780000000000001,0.19257951263534936,0.0903125,0.03009054884927333,2.89,0.6788172572333887,0.20321564878683562,0.9620000000000001,0.15337724448098267,3.51,2.8,46.31,31.86,0.10200000000000001,0.13179414618903593,0.0159375,0.020592835342036857,0.51,400,4000,False,100,0.40687277196386595
14,5,0.5780000000000001,0.19673085752629227,0.0903125,0.03073919648848316,2.89,0.6720377262257838,0.1992022757938842,0.9578333333333333,0.17318005071696324,3.45,2.77,46.31,31.86,0.10200000000000001,0.13179414618903593,0.0159375,0.020592835342036857,0.51,400,5000,False,100,0.37248975281117647
14,5,0.574,0.18996012340712068,0.0896875,0.02968126928236258,2.87,0.6869383604234568,0.195746519430278,0.9683333333333333,0.14103394056244897,3.54,2.85,46.31,31.86,0.10200000000000001,0.13179414618903593,0.0159375,0.020592835342036857,0.51,400,3000,False,100,0.45067283889708964
14,5,0.574,0.18782110551470962,0.0896875,0.02934704773667338,2.87,0.6722265657656427,0.20247691478801003,0.9595,0.16273571352936775,3.47,2.78,46.31,31.86,0.10200000000000001,0.13179414618903593,0.0159375,0.020592835342036857,0.51,300,4000,False,100,0.34098805737137655
14,5,0.564,0.171458390864897,0.088125,0.02679037357264016,2.82,0.6607177684934662,0.18641321927095128,0.9478333333333333,0.17040677220541445,3.41,2.73,46.31,31.86,0.10200000000000001,0.13179414618903593,0.0159375,0.020592835342036857,0.51,400,2000,False,100,0.5248408018418845
14,5,0.562,0.1857444752906802,0.0878125,0.029022574264168783,2.81,0.653545910551716,0.20730479895019926,0.9511666666666666,0.18403226123755181,3.33,2.68,46.31,31.86,0.10200000000000001,0.13179414618903593,0.0159375,0.020592835342036857,0.51,300,5000,False,100,0.31132106022696515
14,5,0.56,0.17056057308448833,0.0875,0.026650089544451305,2.8,0.6419173080611817,0.20030161507667849,0.9395,0.18585886720444228,3.27,2.66,46.31,31.86,0.10200000000000001,0.13179414618903593,0.0159375,0.020592835342036857,0.51,200,4000,False,100,0.2649706429012496
14,5,0.56,0.16817499303650438,0.0875,0.02627734266195381,2.8,0.6393501910318538,0.20011985383362632,0.9411666666666666,0.18105339292226597,3.27,2.64,46.31,31.86,0.10200000000000001,0.13179414618903593,0.0159375,0.020592835342036857,0.51,200,5000,False,100,0.2405193676459328
14,5,0.552,0.1866666666666666,0.08625,0.029166666666666664,2.76,0.6541207203231808,0.1988799568257762,0.9566666666666667,0.16131126543009228,3.36,2.68,46.31,31.86,0.10200000000000001,0.13179414618903593,0.0159375,0.020592835342036857,0.51,300,3000,False,100,0.37937105892729933
14,5,0.55,0.18062741382819672,0.0859375,0.028223033410655737,2.75,0.6405376519053759,0.19583310029480838,0.9375,0.1813308916205186,3.31,2.65,46.31,31.86,0.10200000000000001,0.13179414618903593,0.0159375,0.020592835342036857,0.51,300,2000,False,100,0.44402248624548446
