uncertainty_weight,k,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits,avg_ndcg_at_k,std_ndcg_at_k,avg_mrr_at_k,...,avg_strong_hits_at_k,baseline_avg_precision_at_k,baseline_std_precision_at_k,baseline_avg_hit_rate,baseline_std_hit_rate,baseline_avg_hits,feature_set,numeric_features,n_numeric_features,n_runs
7.5,5,0.67,0.227342,0.104688,0.035522,3.35,0.718064,0.185288,1.0,...,3.1,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_num_episodes_watching,"mean, num_episodes, watching",3,20
7.5,5,0.64,0.239297,0.1,0.03739,3.2,0.708941,0.191788,0.9625,...,3.1,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_episodes_dropped,"mean, popularity, num_episodes, dropped",4,20
7.5,5,0.64,0.230332,0.1,0.035989,3.2,0.675795,0.187293,0.9375,...,2.9,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_episodes_dropped_pla...,"mean, popularity, num_episodes, dropped, plan_...",5,20
7.5,5,0.62,0.157614,0.096875,0.024627,3.1,0.700486,0.17022,1.0,...,2.85,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_watching,"mean, popularity, watching",3,20
7.5,5,0.62,0.193581,0.096875,0.030247,3.1,0.695862,0.181388,0.975,...,2.95,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_episodes_watching,"mean, popularity, num_episodes, watching",4,20
7.5,5,0.59,0.165116,0.092188,0.025799,2.95,0.700084,0.170235,0.975,...,3.0,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_watching_dropped,"mean, popularity, watching, dropped",4,20
7.5,5,0.58,0.170448,0.090625,0.026633,2.9,0.690166,0.195002,0.95,...,2.95,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_episodes_watching_dr...,"mean, popularity, num_episodes, watching, dropped",5,20
7.5,5,0.57,0.18666,0.089063,0.029166,2.85,0.648976,0.183861,0.925,...,2.8,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_num_episodes_dropped,"mean, num_episodes, dropped",3,20
7.5,5,0.56,0.211262,0.0875,0.03301,2.8,0.705361,0.195862,0.975,...,3.05,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_scoring_users_num_ep...,"mean, popularity, num_scoring_users, num_episo...",5,20
7.5,5,0.56,0.230332,0.0875,0.035989,2.8,0.679332,0.217329,1.0,...,2.8,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_episodes_completed,"mean, popularity, num_episodes, completed",4,20
7.5,5,0.55,0.203909,0.085938,0.031861,2.75,0.696531,0.204027,0.975,...,3.0,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_scoring_users_num_ep...,"mean, popularity, num_scoring_users, num_episo...",6,20
7.5,5,0.55,0.223607,0.085938,0.034939,2.75,0.695135,0.21054,1.0,...,2.9,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_scoring_users_num_ep...,"mean, popularity, num_scoring_users, num_episo...",5,20
7.5,5,0.55,0.241704,0.085938,0.037766,2.75,0.672689,0.18255,1.0,...,2.75,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_scoring_users_completed,"mean, popularity, num_scoring_users, completed",4,20
7.5,5,0.55,0.213985,0.085938,0.033435,2.75,0.671218,0.212092,0.975,...,2.8,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_episodes_completed_p...,"mean, popularity, num_episodes, completed, pla...",5,20
7.5,5,0.55,0.250263,0.085938,0.039104,2.75,0.656182,0.217912,0.975,...,2.7,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_scoring_users_comple...,"mean, popularity, num_scoring_users, completed...",5,20
7.5,5,0.55,0.193309,0.085938,0.030205,2.75,0.595673,0.200441,0.833333,...,2.7,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_episodes,"mean, popularity, num_episodes",3,20
7.5,5,0.55,0.213985,0.085938,0.033435,2.75,0.575848,0.227021,0.816667,...,2.55,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_dropped,"mean, popularity, dropped",3,20
7.5,5,0.55,0.193309,0.085938,0.030205,2.75,0.561844,0.168304,0.766667,...,2.7,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_episodes_plan_to_watch,"mean, popularity, num_episodes, plan_to_watch",4,20
7.5,5,0.54,0.195744,0.084375,0.030585,2.7,0.696531,0.204027,0.975,...,3.0,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_episodes_completed_d...,"mean, popularity, num_episodes, completed, dro...",5,20
7.5,5,0.54,0.225715,0.084375,0.035268,2.7,0.672393,0.210334,0.975,...,2.8,0.17,0.134164,0.026562,0.020963,0.85,combo_mean_popularity_num_scoring_users_num_ep...,"mean, popularity, num_scoring_users, num_episo...",6,20
