feature_set,precision_at_5,precision_at_10,baseline_precision_at_5,baseline_precision_at_10,improvement_at_5,improvement_at_10,notes
all_features,0.528,0.314,0.116,0.076,4.55,4.13,"Numeric + genre + synopsis SVD features"
core_dropped,0.613,0.367,0.110,0.069,5.57,5.32,"Mean + popularity + episodes + dropped, with genre + synopsis SVD"
core_dropped_1000_runs,0.6244,0.3812,0.0984,0.0643,6.35,5.93,"1000-run confirmation: mean + popularity + episodes + dropped, with genre + synopsis SVD"
core_watching,0.618,0.411,0.110,0.069,5.62,5.96,"Mean + popularity + episodes + watching, with genre + synopsis SVD"
core_watching_1000_runs,0.6282,0.4143,0.0984,0.0643,6.38,6.44,"1000-run confirmation: mean + popularity + episodes + watching, with genre + synopsis SVD"
combo_mean_popularity_watching_1000_runs,0.643,0.402,0.0984,0.0643,6.53,6.25,"1000-run confirmation: mean + popularity + watching, with genre + synopsis SVD"
combo_mean_num_episodes_watching_1000_runs,0.6242,0.4129,0.0984,0.0643,6.34,6.42,"1000-run confirmation: mean + episodes + watching, with genre + synopsis SVD"
core_on_hold,0.594,0.365,0.110,0.069,5.40,5.29,"Mean + popularity + episodes + on_hold, with genre + synopsis SVD"
core_num_scoring_users_on_hold,0.549,0.335,0.110,0.069,4.99,4.86,"Mean + popularity + episodes + num_scoring_users + on_hold, with genre + synopsis SVD"
core_completed_on_hold,0.527,0.3265,0.110,0.069,4.79,4.73,"Mean + popularity + episodes + completed + on_hold, with genre + synopsis SVD"
core_completed_dropped,0.560,0.337,0.110,0.069,5.09,4.88,"Mean + popularity + episodes + completed + dropped, with genre + synopsis SVD"
all_features_studios,0.460,0.314,0.116,0.076,3.97,4.13,"Numeric + genre + synopsis SVD + studio features"
activity_numeric_genres_svd,0.244,0.210,0.116,0.076,2.10,2.76,"VIF-reduced activity numeric features + genre + synopsis SVD"
only_numeric,0.196,0.156,0.116,0.076,1.69,2.05,"Numeric metadata only"
only_genres,0.044,0.050,,,,,"Genre one-hot features only"
genres_svd,0.040,0.042,,,,,"Genre + synopsis SVD features"
genres_studios,0.088,0.138,,,,,"Genre + studio one-hot features"
numeric_genres,0.400,0.264,0.116,0.076,3.45,3.47,"Numeric metadata + genre features"
numeric_genres_studios,0.420,0.290,0.116,0.076,3.62,3.82,"Numeric metadata + genre + studio features"
numeric_svd,0.240,0.278,0.116,0.076,2.07,3.66,"Numeric metadata + synopsis SVD features"
numeric_svd_studios,0.092,0.092,0.116,0.076,0.79,1.21,"Numeric metadata + synopsis SVD + studio features"
