bayesian_uncertainty_weight,k,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits,avg_ndcg_at_k,std_ndcg_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,baseline_avg_precision_at_k,baseline_std_precision_at_k,baseline_avg_hit_rate,baseline_std_hit_rate,baseline_avg_hits
8.5,5,0.6604,0.216993,0.103188,0.033905,3.302,0.702652,0.190396,0.987667,0.094453,3.76,2.992,46.326,31.87,0.0976,0.121093,0.01525,0.018921,0.488
8.0,5,0.656,0.223795,0.1025,0.034968,3.28,0.702498,0.193418,0.985833,0.101929,3.738,2.988,46.326,31.87,0.0976,0.121093,0.01525,0.018921,0.488
9.0,5,0.656,0.21353,0.1025,0.033364,3.28,0.700831,0.188577,0.987333,0.092923,3.768,2.982,46.326,31.87,0.0976,0.121093,0.01525,0.018921,0.488
7.5,5,0.652,0.232129,0.101875,0.03627,3.26,0.699462,0.195837,0.983733,0.110986,3.698,2.982,46.326,31.87,0.0976,0.121093,0.01525,0.018921,0.488
10.0,5,0.6484,0.214451,0.101312,0.033508,3.242,0.695568,0.187722,0.985333,0.097887,3.752,2.954,46.326,31.87,0.0976,0.121093,0.01525,0.018921,0.488
7.0,5,0.6436,0.238102,0.100562,0.037203,3.218,0.693811,0.199229,0.982633,0.113741,3.634,2.952,46.326,31.87,0.0976,0.121093,0.01525,0.018921,0.488
10.0,10,0.4292,0.138078,0.134125,0.043149,4.292,0.536482,0.144003,0.985952,0.091955,5.28,3.988,46.326,31.87,0.0634,0.059054,0.019813,0.018454,0.634
9.0,10,0.4228,0.143112,0.132125,0.044723,4.228,0.538222,0.145554,0.987841,0.087721,5.288,3.98,46.326,31.87,0.0634,0.059054,0.019813,0.018454,0.634
8.5,10,0.4166,0.147336,0.130188,0.046042,4.166,0.538848,0.147319,0.988175,0.089338,5.286,3.972,46.326,31.87,0.0634,0.059054,0.019813,0.018454,0.634
8.0,10,0.4144,0.148583,0.1295,0.046432,4.144,0.538155,0.148676,0.986319,0.09742,5.264,3.954,46.326,31.87,0.0634,0.059054,0.019813,0.018454,0.634
7.5,10,0.4106,0.148296,0.128312,0.046342,4.106,0.536016,0.150328,0.984019,0.108606,5.214,3.95,46.326,31.87,0.0634,0.059054,0.019813,0.018454,0.634
7.0,10,0.4076,0.145412,0.127375,0.045441,4.076,0.533007,0.150351,0.982883,0.111696,5.152,3.932,46.326,31.87,0.0634,0.059054,0.019813,0.018454,0.634
