k,bayesian_precision_at_k,bayesian_ndcg_at_k,knn_baseline_precision_at_k,knn_baseline_ndcg_at_k,global_baseline_precision_at_k,global_baseline_ndcg_at_k,username,user_len,score_count,liked_count,like_threshold,relevance_threshold,threshold_strategy,score_mean,score_std,score_median,liked_ratio,hidden,hidden_relevant,hidden_strong_relevant
5,0.872,0.872319,0.86,0.867408,0.592,0.468295,chenamaty,1767,1503,582,7.674704,6,standard,7.240852,1.349407,7.0,0.387226,376,288,142
5,0.352,0.332747,0.18,0.179472,0.16,0.123739,KyleAxity_,726,545,272,9.636029,6,standard,8.985321,1.272059,9.0,0.499083,136,128,68
5,0.544,0.595491,0.456,0.48828,0.228,0.241451,MubE,643,505,240,7.662689,6,standard,7.338614,1.325378,7.0,0.475248,126,98,57
5,0.068,0.085276,0.02,0.022206,0.0,0.0,SuricateVoador,567,246,93,6.862797,6,standard,6.044715,1.725594,6.0,0.378049,62,22,22
5,0.732,0.713471,0.408,0.520154,0.644,0.539503,DoomSlayer_OG,556,361,82,7.574196,6,standard,6.698061,1.148392,7.0,0.227147,90,54,25
5,0.12,0.10159,0.24,0.268516,0.116,0.143488,N0rth_5tar,445,434,124,7.787071,6,standard,6.709677,1.574143,7.0,0.285714,108,61,38
5,0.196,0.246888,0.192,0.235519,0.04,0.067832,Opelo_Stradyon,404,395,94,6.620597,6,standard,5.675949,1.241193,6.0,0.237975,99,29,29
5,0.684,0.656872,0.208,0.204683,0.088,0.122419,chekkit,316,262,126,7.782145,6,standard,7.40458,1.56429,7.0,0.480916,66,44,33
5,0.256,0.225749,0.164,0.236865,0.192,0.114954,DanDeku,314,181,80,8.826747,6,standard,8.027624,1.653494,8.0,0.441989,45,41,23
5,0.136,0.130834,0.068,0.051713,0.14,0.116355,AkiAki_Akira,295,234,89,7.675149,6,standard,6.961538,1.350299,7.0,0.380342,58,33,18
5,0.052,0.044605,0.004,0.003392,0.148,0.160024,zClaw_Epic,287,178,72,7.721052,6,standard,6.898876,1.442103,7.0,0.404494,44,29,20
5,0.044,0.031139,0.252,0.258654,0.0,0.0,Haileytokar,238,198,66,8.740101,6,standard,8.030303,1.480203,8.0,0.333333,50,44,15
5,0.7,0.629545,0.436,0.457112,0.244,0.227644,Cheuns,222,185,65,8.735443,6,standard,7.902703,1.470886,8.0,0.351351,46,41,18
5,0.516,0.533799,0.56,0.586175,0.084,0.063749,dragonenjoyer,215,173,52,7.908572,6,standard,6.50289,1.817145,7.0,0.300578,43,24,16
5,0.012,0.008467,0.196,0.213795,0.0,0.0,MarnikBe,203,163,72,7.587678,6,standard,7.257669,1.175355,7.0,0.441718,41,30,20
5,0.132,0.141941,0.216,0.198252,0.0,0.0,monkeydirene,178,157,56,7.809895,6,standard,6.917197,1.619789,7.0,0.356688,39,20,13
5,0.124,0.109599,0.3,0.376159,0.156,0.174724,TheRealist68,177,149,48,8.185015,6,standard,7.020134,2.37003,7.0,0.322148,37,25,14
5,0.248,0.198841,0.148,0.072104,0.068,0.068864,LILITH_OG,174,139,28,9.584928,6,standard,8.438849,1.169856,9.0,0.201439,35,32,9
5,0.24,0.229432,0.224,0.217026,0.288,0.298806,ikodrmz,165,158,70,7.616926,6,standard,7.322785,1.233853,7.0,0.443038,40,30,17
5,0.052,0.054198,0.132,0.143164,0.08,0.020052,ayumix3,152,128,57,9.558143,6,standard,8.9375,1.116286,9.0,0.445312,32,32,17
5,0.208,0.177067,0.264,0.303807,0.22,0.144338,Captn_Cook,135,79,33,8.967796,6,standard,7.886076,1.935592,8.0,0.417722,20,16,9
5,0.1,0.080805,0.076,0.046044,0.164,0.154626,ssafin,130,81,37,8.708614,6,standard,7.938272,1.417228,8.0,0.45679,20,19,11
5,0.356,0.295709,0.06,0.040608,0.2,0.199128,I_grV,115,88,34,8.417797,6,standard,8.329545,0.835594,8.0,0.386364,22,20,10
5,0.084,0.043274,0.032,0.026717,0.032,0.054266,Toaster_toaster,93,79,31,7.809335,6,standard,7.012658,1.61867,7.0,0.392405,20,14,8
5,0.068,0.071103,0.004,0.002921,0.0,0.0,SaniLani,86,51,48,10.0,6,median,9.941176,0.235294,10.0,0.941176,13,13,12
5,0.208,0.160907,0.316,0.422448,0.088,0.122646,heemini,71,64,17,8.64229,6,standard,7.578125,1.28458,8.0,0.265625,16,11,6
5,0.02,0.023283,0.0,0.0,0.088,0.063074,Cresherhsm,51,43,14,8.56536,6,standard,8.023256,1.130721,8.0,0.325581,11,10,5
5,0.144,0.181849,0.212,0.300287,0.0,0.0,kuzyadam,43,28,3,9.431537,6,standard,8.571429,0.863075,9.0,0.107143,7,7,1
5,0.06,0.060293,0.176,0.211324,0.04,0.019629,Sturmx,35,31,7,9.526607,6,standard,8.709677,1.053215,9.0,0.225806,8,8,0
5,0.068,0.039607,0.136,0.081424,0.0,0.0,kaninhoppning,33,26,8,9.846154,6,standard,8.538462,1.692308,9.0,0.307692,6,5,1
5,0.008,0.01164,0.048,0.126891,0.0,0.0,ArceusComplex,12,10,2,9.208872,6,standard,8.3,1.417745,8.5,0.2,2,2,1
