feature_set,precision_at_5,precision_at_10,baseline_precision_at_5,baseline_precision_at_10,improvement_at_5,improvement_at_10,notes
all_features,0.528,0.314,0.116,0.076,4.55,4.13,"Numeric + genre + synopsis SVD features"
all_features_studios,0.460,0.314,0.116,0.076,3.97,4.13,"Numeric + genre + synopsis SVD + studio features"
activity_numeric_genres_svd,0.244,0.210,0.116,0.076,2.10,2.76,"VIF-reduced activity numeric features + genre + synopsis SVD"
only_numeric,0.196,0.156,0.116,0.076,1.69,2.05,"Numeric metadata only"
only_genres,0.044,0.050,,,,,"Genre one-hot features only"
genres_svd,0.040,0.042,,,,,"Genre + synopsis SVD features"
genres_studios,0.088,0.138,,,,,"Genre + studio one-hot features"
numeric_genres,0.400,0.264,0.116,0.076,3.45,3.47,"Numeric metadata + genre features"
numeric_genres_studios,0.420,0.290,0.116,0.076,3.62,3.82,"Numeric metadata + genre + studio features"
numeric_svd,0.240,0.278,0.116,0.076,2.07,3.66,"Numeric metadata + synopsis SVD features"
numeric_svd_studios,0.092,0.092,0.116,0.076,0.79,1.21,"Numeric metadata + synopsis SVD + studio features"
