model,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,score_count,rated_eval_count,liked_count,like_threshold,relevance_threshold,liked_ratio,score_mean,score_std,score_median,n_runs,random_state,clip_predictions,feature_set,n_features,feature_rows,bayesian_uncertainty_weight,neighbor_setting,score_count_bin
knn_all_available,5,0.3575112865411495,0.1758278158010616,0.37,0.17378728435078383,0.7051666666666666,0.3566877098169429,1.85,1.59,66.68,30.61,N0rth_5tar,434,434,124,7.787071277066816,6,0.2857142857142857,6.709677419354839,1.574142554133632,7.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_400_plus
global_mean,5,0.14033122846344961,0.17230476509871118,0.11,0.1314257481345542,0.3466666666666666,0.4365973934308554,0.55,0.55,66.68,30.61,N0rth_5tar,434,434,124,7.787071277066816,6,0.2857142857142857,6.709677419354839,1.574142554133632,7.0,100,42,False,complete_num_genres,80,4859,,,completed_400_plus
bayesian_ridge,5,0.103672296781889,0.14660685833367718,0.11,0.11849221088495242,0.3221666666666667,0.4200238823309872,0.55,0.27,66.68,30.61,N0rth_5tar,434,434,124,7.787071277066816,6,0.2857142857142857,6.709677419354839,1.574142554133632,7.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_400_plus
knn_all_available,5,0.28832668953285906,0.2004654975829647,0.306,0.18302729277075014,0.4818333333333333,0.3186504845644068,1.53,1.45,17.92,8.12,SteelPax,85,85,32,8.665772179619808,6,0.3764705882352941,7.9411764705882355,1.3315443592396152,8.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_20_100
bayesian_ridge,5,0.22681720009299178,0.16891366048696074,0.23,0.16422453217986943,0.4403333333333333,0.34820511390098985,1.15,1.08,17.92,8.12,SteelPax,85,85,32,8.665772179619808,6,0.3764705882352941,7.9411764705882355,1.3315443592396152,8.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_20_100
global_mean,5,0.18251613719245907,0.15481479574257898,0.168,0.13549758654528116,0.395,0.357424852594955,0.84,0.84,17.92,8.12,SteelPax,85,85,32,8.665772179619808,6,0.3764705882352941,7.9411764705882355,1.3315443592396152,8.0,100,42,False,complete_num_genres,80,4859,,,completed_20_100
knn_all_available,5,0.5134701250752115,0.2271380664807314,0.48800000000000004,0.22260169620089412,0.8641666666666667,0.2786992292447069,2.44,2.03,23.91,8.25,Qhair,112,112,33,9.12058907101195,6,0.29464285714285715,7.9375,2.241178142023903,8.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_100_400
global_mean,5,0.09813350929949342,0.14810155992757656,0.084,0.09920899274977163,0.3,0.4334498677803327,0.42,0.27,23.91,8.25,Qhair,112,112,33,9.12058907101195,6,0.29464285714285715,7.9375,2.241178142023903,8.0,100,42,False,complete_num_genres,80,4859,,,completed_100_400
bayesian_ridge,5,0.06996585901210627,0.10595268573716023,0.09,0.1283146385438796,0.1165,0.17819545316483112,0.45,0.43,23.91,8.25,Qhair,112,112,33,9.12058907101195,6,0.29464285714285715,7.9375,2.241178142023903,8.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
knn_all_available,5,0.3192927268429498,0.20146780339379405,0.276,0.17003861712308568,0.642,0.3928905228724192,1.38,1.38,47.15,16.17,tufen,318,318,65,7.629270741472489,6,0.20440251572327045,6.5754716981132075,1.2585414829449773,7.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_100_400
global_mean,5,0.16255233894970694,0.1682529761289873,0.128,0.13187076624445235,0.39,0.40564202758769285,0.64,0.64,47.15,16.17,tufen,318,318,65,7.629270741472489,6,0.20440251572327045,6.5754716981132075,1.2585414829449773,7.0,100,42,False,complete_num_genres,80,4859,,,completed_100_400
bayesian_ridge,5,0.0729755458359985,0.09168767714715592,0.09600000000000002,0.11884970561702086,0.121,0.15123175516750362,0.48,0.48,47.15,16.17,tufen,318,318,65,7.629270741472489,6,0.20440251572327045,6.5754716981132075,1.2585414829449773,7.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
knn_all_available,5,0.4001260270435768,0.18900137637398703,0.53,0.16666666666666666,0.7183333333333333,0.27313801841628915,2.65,1.46,145.8,8.52,okami20,716,716,35,7.258311934292188,6,0.04888268156424581,6.846368715083799,0.5166238685843758,7.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_400_plus
