bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,score_count,n_runs,clip_predictions
20,5,0.2146160065428605,0.14599391329768574,0.274,0.17210520625536588,0.4903333333333333,0.3208537642714171,1.37,0.9,27.61,15.48,LoyJoy,231,100,False
18,5,0.2061950935636578,0.14340974304190895,0.264,0.16546231527987806,0.4815,0.31848137654404096,1.32,0.85,27.61,15.48,LoyJoy,231,100,False
17,5,0.20132614780563443,0.1376160051314039,0.262,0.16003787430518193,0.4746666666666667,0.3154502598543862,1.31,0.83,27.61,15.48,LoyJoy,231,100,False
15,5,0.1965231988676434,0.14280400242579025,0.256,0.1659499742072711,0.461,0.32361437333076326,1.28,0.82,27.61,15.48,LoyJoy,231,100,False
13,5,0.1899484737043637,0.13956388773603945,0.24600000000000002,0.15532305857551393,0.44866666666666666,0.32109415914150846,1.23,0.81,27.61,15.48,LoyJoy,231,100,False
12,5,0.18961161209764613,0.14207030223742775,0.248,0.15857955337140645,0.43733333333333335,0.316734176748482,1.24,0.83,27.61,15.48,LoyJoy,231,100,False
10,5,0.17049036838042364,0.140582055723915,0.228,0.16085629448283167,0.3913333333333333,0.3150052107954452,1.14,0.75,27.61,15.48,LoyJoy,231,100,False
9,5,0.15314983375798705,0.1385836642595455,0.20199999999999999,0.15697905670000778,0.3661666666666667,0.31901446687973783,1.01,0.66,27.61,15.48,LoyJoy,231,100,False
8,5,0.13603726892140944,0.13187790832718316,0.182,0.1533333333333333,0.33016666666666666,0.3144187000918557,0.91,0.58,27.61,15.48,LoyJoy,231,100,False
7,5,0.11514774322020106,0.11930881855777895,0.16,0.14213381090374033,0.27599999999999997,0.28637523358484485,0.8,0.53,27.61,15.48,LoyJoy,231,100,False
6,5,0.09626812229212639,0.11547775646540301,0.132,0.13698042328608998,0.22733333333333333,0.2716652723518783,0.66,0.45,27.61,15.48,LoyJoy,231,100,False
5,5,0.0751168715383924,0.09888738881429766,0.10800000000000001,0.12527142249104262,0.18083333333333332,0.24471260543596704,0.54,0.36,27.61,15.48,LoyJoy,231,100,False
3,5,0.04075407548748435,0.06848058538906482,0.06,0.09639984073082951,0.07916666666666666,0.13198763248527667,0.3,0.25,27.61,15.48,LoyJoy,231,100,False
0,5,0.01177011624312014,0.04080051690536735,0.016,0.054531984868858144,0.020499999999999997,0.07490566457791151,0.08,0.08,27.61,15.48,LoyJoy,231,100,False
