username,model,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,valid_runs,score_count,avg_train_count,avg_candidate_count,avg_knn_neighbors,feature_set,feature_columns,n_features,feature_rows,bayesian_uncertainty_weight,clip_predictions,n_runs,random_state,svd_explained_variance
Vurnox,knn_all_available,5,0.8457799466472327,0.123016204314906,0.958,0.0996762435856886,1.0,0.0,4.79,3.77,106.18,45.76,100,661,496.0,4363.0,496.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
DaiShi57,knn_all_available,5,0.8127307273120908,0.1835164401518789,0.772,0.2050277143128793,0.97,0.1388989895317071,3.86,3.86,15.44,15.44,100,190,142.0,4717.0,142.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
IM_C4,knn_all_available,5,0.6049228436457543,0.1941398520133885,0.5539999999999999,0.192495572558294,0.9041666666666668,0.2282561495539673,2.77,2.77,41.06,26.91,100,228,171.0,4688.0,171.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Vurnox,bayesian_ridge,5,0.6012160097168543,0.1930798213508501,0.624,0.1639906378209722,0.9091666666666668,0.2122427802195662,3.12,2.5,106.18,45.76,100,661,496.0,4363.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Irseus,knn_all_available,5,0.5636297942494417,0.1611919562952872,0.71,0.1592279352172079,0.955,0.1438117456323306,3.55,2.18,187.09,26.89,100,775,581.0,4278.0,581.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Edison-great,knn_all_available,5,0.5583462016033333,0.2175083200877812,0.564,0.2190521362229512,0.9045,0.2170852599809809,2.82,2.29,90.2,39.17,100,459,344.0,4515.0,344.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
MeloniaShaby,knn_all_available,5,0.5224607377114885,0.1805373750208764,0.516,0.1612576832403355,0.9056666666666666,0.2300053676238937,2.58,2.24,45.98,25.59,100,220,165.0,4694.0,165.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
xF0x,knn_all_available,5,0.5199994410279924,0.2328579571049862,0.462,0.239013122500152,0.912,0.2727636339397171,2.31,2.09,20.45,12.71,100,135,101.0,4758.0,101.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Vurnox,global_mean,5,0.4517402665199571,0.1732748230478807,0.574,0.2101562670149442,0.607,0.2118962010041709,2.87,2.25,106.18,45.76,100,661,496.0,4363.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
TheRealist68,knn_all_available,5,0.4470979541494456,0.1917979129618182,0.442,0.1891928629571935,0.7023333333333334,0.3176444235272828,2.21,2.08,23.96,11.67,100,149,112.0,4747.0,112.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
GrumbleDango,knn_all_available,5,0.4393757489862211,0.2170936551002895,0.482,0.212906770510693,0.5915,0.2633047229055664,2.41,2.21,85.95,51.45,100,488,366.0,4493.0,366.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Siipn,bayesian_ridge,5,0.424374161730889,0.1588005477413895,0.5760000000000001,0.099615422115415,0.81,0.2889374473564278,2.88,1.64,87.15,16.15,100,448,336.0,4523.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
DanteNani2004,bayesian_ridge,5,0.3911156673340652,0.2136351974066528,0.324,0.1815310864660247,0.7561666666666667,0.3678482263388677,1.62,1.59,17.19,8.18,100,75,56.0,4803.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
DaiShi57,bayesian_ridge,5,0.3872882068493675,0.2173579654410294,0.3379999999999999,0.1963196733427756,0.6848333333333333,0.3661236796788059,1.69,1.69,15.44,15.44,100,190,142.0,4717.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
GrumbleDango,bayesian_ridge,5,0.3827785206773316,0.2078664681125162,0.422,0.1946662515562199,0.7191666666666667,0.3373193909230609,2.11,1.51,85.95,51.45,100,488,366.0,4493.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Edison-great,bayesian_ridge,5,0.3712486830701003,0.2058307329877322,0.428,0.1990279407824972,0.6934999999999999,0.3211921448905529,2.14,1.57,90.2,39.17,100,459,344.0,4515.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
KSTTK,knn_all_available,5,0.3564126299902691,0.2103484506978495,0.32,0.192799681461659,0.69,0.3654709613211746,1.6,1.4,27.24,5.73,100,138,104.0,4755.0,104.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
dareggon,knn_all_available,5,0.3386170231015126,0.1959848123441757,0.414,0.2313858118800587,0.7928333333333333,0.3507587974758922,2.07,1.17,32.02,12.67,100,145,109.0,4750.0,109.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
HumanRat,knn_all_available,5,0.33283804787692,0.2033722664475383,0.314,0.1954120226236313,0.7931666666666666,0.3599717456801172,1.57,1.12,34.29,9.94,100,161,121.0,4738.0,121.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
pensa89,knn_all_available,5,0.3259261817260662,0.1980825603751342,0.32,0.1632993161855452,0.7195,0.3698594919304407,1.6,1.13,18.79,7.16,100,92,69.0,4790.0,69.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
LocNguyen,knn_all_available,5,0.2983968421494024,0.1643091497751554,0.396,0.1819756893520436,0.8058333333333333,0.3033795336111871,1.98,1.0,60.88,33.29,100,572,421.0,4438.0,421.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Haileytokar,knn_all_available,5,0.29459139773908,0.1885801421578982,0.322,0.1726677196645088,0.5816666666666667,0.3657971017392741,1.61,1.3,41.49,16.4,100,198,148.0,4711.0,148.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
LocNguyen,global_mean,5,0.2882631261268447,0.1598286627637229,0.316,0.1561661896438495,0.465,0.3420944599502006,1.58,1.58,60.88,33.29,100,572,421.0,4438.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Siipn,global_mean,5,0.2831644558941165,0.1826654669471878,0.26,0.1740776559556978,0.5516666666666666,0.3652213633126868,1.3,1.3,87.15,16.15,100,448,336.0,4523.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
