requested_knn_neighbors,k,avg_ndcg_at_k,std_ndcg_at_k_across_users,avg_precision_at_k,std_precision_at_k_across_users,avg_mrr_at_k,std_mrr_at_k_across_users,mean_within_user_std_ndcg_at_k,mean_within_user_std_precision_at_k,mean_within_user_std_mrr_at_k,users_evaluated,avg_actual_knn_neighbors,min_actual_knn_neighbors,max_actual_knn_neighbors
50,5,0.36113308373906383,0.18874898795798023,0.3526896551724138,0.17361803384117924,0.6454425287356322,0.27296465508980783,0.1902199375642331,0.1910596319856739,0.2968053272780504,29,50.0,50,50
100,5,0.39226280646609213,0.19926196288313727,0.39593103448275857,0.18526157782106023,0.6612643678160919,0.26844934462473025,0.18464454276535028,0.1886405365281826,0.2751796033476288,29,93.0,51,100
150,5,0.40056267523351,0.20014151340721964,0.41020689655172415,0.1884495725102881,0.6717068965517242,0.25406821143513797,0.18321266436654188,0.18696455752322824,0.2745604835695127,29,123.03448275862068,51,150
200,5,0.40943188797831553,0.19743391076680278,0.42193103448275865,0.18651655059356048,0.6847183908045977,0.25006149284776835,0.18304434018315136,0.18710630582375734,0.2715892210380922,29,139.0,51,200
250,5,0.41200570094423944,0.1968987681613507,0.42758620689655175,0.18863144663628736,0.6897241379310345,0.2501212137726255,0.1820205865291607,0.1854818520080799,0.2674599615021494,29,151.06896551724137,51,250
300,5,0.41424318952862654,0.19876495668172983,0.4321379310344828,0.19413760291863888,0.6924080459770114,0.2515067198532932,0.18189945831487953,0.18464376462876042,0.2642799986365637,29,163.0,51,300
350,5,0.4162330595512137,0.19727545054942794,0.4342758620689655,0.19491809572076388,0.7016494252873563,0.24857844385158143,0.1801006749246057,0.1818507023418587,0.2648227441101965,29,172.6551724137931,51,350
400,5,0.41714417810900445,0.19815496970998572,0.43655172413793103,0.19663737223029465,0.7020459770114942,0.24878916257303715,0.17991973062768385,0.18236759111700793,0.26367597710758883,29,178.3793103448276,51,400
450,5,0.4178641212193905,0.19855149920066903,0.4382068965517241,0.19906448691501683,0.7023333333333333,0.24908842138218043,0.17993014827421278,0.18184384419157903,0.2632049321627259,29,182.55172413793105,51,450
-1,5,0.4246740216616518,0.19444634370116448,0.43848275862068964,0.19633401217052376,0.7230977011494253,0.240732647091081,0.18632880639483734,0.18690619656779522,0.2689148545713501,29,188.6551724137931,51,581,all_available
